[Arrive Time: 1370, Sorting Time: 112, Direct Treasury: 0, Priority: 1, Desk: C, Desk Time:446, Treasury: 1, Treasury Time: 30, Repeat: 1, Waiting: 0
, Arrive Time: 1386, Sorting Time: 51, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:606, Treasury: 1, Treasury Time: 73, Repeat: 0, Waiting: 0
, Arrive Time: 1961, Sorting Time: 6, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:516, Treasury: 1, Treasury Time: 12, Repeat: 0, Waiting: 0
, Arrive Time: 2460, Sorting Time: 10, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:861, Treasury: 1, Treasury Time: 96, Repeat: 0, Waiting: 0
, Arrive Time: 2631, Sorting Time: 7, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:823, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 2695, Sorting Time: 35, Direct Treasury: 1, Priority: 1, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 117, Repeat: 0, Waiting: 0
, Arrive Time: 2895, Sorting Time: 69, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:396, Treasury: 1, Treasury Time: 91, Repeat: 0, Waiting: 0
, Arrive Time: 2919, Sorting Time: 157, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:1296, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 3183, Sorting Time: 46, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:5, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 3368, Sorting Time: 80, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:47, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 4870, Sorting Time: 132, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:586, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 5147, Sorting Time: 33, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:506, Treasury: 1, Treasury Time: 52, Repeat: 1, Waiting: 0
, Arrive Time: 5989, Sorting Time: 116, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:877, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 6466, Sorting Time: 12, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:460, Treasury: 1, Treasury Time: 5, Repeat: 1, Waiting: 0
, Arrive Time: 7293, Sorting Time: 101, Direct Treasury: 0, Priority: 1, Desk: A, Desk Time:543, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 7856, Sorting Time: 101, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:174, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 8544, Sorting Time: 33, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:177, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 8579, Sorting Time: 54, Direct Treasury: 0, Priority: 1, Desk: B, Desk Time:565, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 8821, Sorting Time: 65, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:493, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 8941, Sorting Time: 58, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:1049, Treasury: 1, Treasury Time: 147, Repeat: 0, Waiting: 0
, Arrive Time: 9473, Sorting Time: 2, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:615, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 9569, Sorting Time: 8, Direct Treasury: 1, Priority: 1, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 161, Repeat: 0, Waiting: 0
, Arrive Time: 9749, Sorting Time: 103, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:501, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 10363, Sorting Time: 99, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:133, Treasury: 1, Treasury Time: 94, Repeat: 0, Waiting: 0
, Arrive Time: 10958, Sorting Time: 74, Direct Treasury: 0, Priority: 1, Desk: A, Desk Time:216, Treasury: 1, Treasury Time: 45, Repeat: 0, Waiting: 0
, Arrive Time: 11041, Sorting Time: 12, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:44, Treasury: 1, Treasury Time: 123, Repeat: 1, Waiting: 0
, Arrive Time: 11047, Sorting Time: 51, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:313, Treasury: 1, Treasury Time: 6, Repeat: 0, Waiting: 0
, Arrive Time: 11112, Sorting Time: 117, Direct Treasury: 0, Priority: 0, Desk: C, Desk Time:657, Treasury: 1, Treasury Time: 82, Repeat: 1, Waiting: 0
, Arrive Time: 11242, Sorting Time: 34, Direct Treasury: 0, Priority: 1, Desk: C, Desk Time:636, Treasury: 1, Treasury Time: 7, Repeat: 0, Waiting: 0
, Arrive Time: 11506, Sorting Time: 105, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:509, Treasury: 1, Treasury Time: 64, Repeat: 0, Waiting: 0
, Arrive Time: 12072, Sorting Time: 47, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:428, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 12073, Sorting Time: 47, Direct Treasury: 0, Priority: 0, Desk: A, Desk Time:1434, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 12114, Sorting Time: 66, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 20, Repeat: 0, Waiting: 0
, Arrive Time: 12323, Sorting Time: 102, Direct Treasury: 0, Priority: 0, Desk: B, Desk Time:316, Treasury: 1, Treasury Time: 112, Repeat: 0, Waiting: 0
, Arrive Time: 12900, Sorting Time: 85, Direct Treasury: 0, Priority: 1, Desk: A, Desk Time:162, Treasury: 0, Treasury Time: 0, Repeat: 0, Waiting: 0
, Arrive Time: 12984, Sorting Time: 86, Direct Treasury: 1, Priority: 0, Desk:  , Desk Time:0, Treasury: 1, Treasury Time: 33, Repeat: 0, Waiting: 0
